Country,year,Urban population growth (annual %),Rural population growth (annual %),Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","GNI per capita, Atlas method (current US$)","Primary education, duration (years)","Inflation, consumer prices (annual %)",Access to electricity (% of population),People using at least basic drinking water services (% of population),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,suicides_no,suicides/100k pop,gdp_per_capita ($),sex,age,generation
Chile,2010,1.03472685905502,0.529268771691119,116.8235653,10.52973415,7.330402954649861,10790.0,6.0,1.4107110795431799,99.38864135742192,99.02315243390751,6.636,9.931000000000001,0.857,68.9,0.7859999999999999,0.10800000000000001,0.7020000000000001,166.75,13.57333333333333,13874.0,0.0,3.0,3.0
Chile,2011,1.0037452573457402,0.4874375405600949,130.09259939999998,11.72507516,9.57360086065511,12390.0,6.0,3.3412169425929905,99.588193,99.34188820450001,6.526,9.98,0.8190000000000001,69.04,0.701,0.11199999999999999,0.753,168.91666666666666,13.40333333333333,15854.0,1.0,3.0,3.0
Chile,2012,0.9729735838048941,0.46365538492799296,138.30921030000002,12.51508832,11.340330823387802,14420.0,6.0,3.00744840213049,99.8582229614258,99.65229231726191,6.599,10.023,0.855,69.18,0.7340000000000001,0.195,0.782,153.41666666666666,12.367500000000001,16617.0,0.0,3.0,3.0
Chile,2013,0.9467180368960391,0.43543271489813107,135.49426440000002,13.14305312,7.480616901716781,15370.0,6.0,1.7895555398458702,99.6,99.9283803200383,6.74,10.052999999999999,0.862,69.32,0.737,0.085,0.741,144.83333333333334,11.21,17140.0,0.0,3.0,3.0
Chile,2014,0.9252371396336719,0.411994973906475,134.44413290000003,14.13503777,9.108864815497089,15120.0,6.0,4.71867527854671,99.9953384399414,100.0,6.843999999999999,10.059,0.862,69.46,0.733,0.217,0.758,149.08333333333334,11.447499999999998,15883.0,0.0,3.0,3.0
Chile,2015,0.9069793273327901,0.39177786232819806,130.64668,15.3098454,8.62738309514266,14310.0,6.0,4.3487735321705,99.714844,100.0,6.5329999999999995,10.07,0.8270000000000001,69.6,0.769,0.040999999999999995,0.812,153.16666666666666,12.306666666666667,14729.0,1.0,3.0,3.0
Colombia,2006,1.7862889341859098,-0.41534701780376504,67.89603009,1.432797206,4.187992641278299,3410.0,5.0,4.29245011787705,95.4662399291992,92.8422118667535,6.025,9.277000000000001,0.91,65.22,0.805,-0.015,0.8079999999999999,181.41666666666666,6.534166666666667,4095.0,0.0,5.0,5.0
Colombia,2007,1.73467887918183,-0.459168891772948,76.48776421,2.720229054,4.3196262436098305,4030.0,5.0,5.5451412818745895,95.74927520751949,93.28808276933529,6.138,9.33,0.894,65.34,0.7859999999999999,-0.04,0.86,181.75,6.187500000000003,5150.0,0.0,5.0,5.0
Colombia,2008,1.6843902193791398,-0.507174380746455,92.12323077,3.9466081610000003,4.37057176891023,4610.0,5.0,6.9985504028835095,96.806763,93.7282313377787,6.167999999999999,9.351,0.88,65.46,0.795,-0.042,0.763,185.0,6.185000000000001,5971.0,0.0,5.0,5.0
Colombia,2009,1.63448786329407,-0.5547633036424301,92.82949837,4.656450528,3.45581441877721,5030.0,5.0,4.2010447688327,96.057229,94.1627120093706,6.272,9.351,0.8859999999999999,65.58,0.757,-0.055,0.8370000000000001,187.41666666666666,6.152500000000001,5643.0,0.0,5.0,5.0
